time,places,tweet
2023-02-09 23:34:28,รักแมวอ้วนที่ชื่อจุ้บจิ้บค่ะ,นอนพร้อมกับแฟน ✅ https://t.co/u1HhU3QqV3
2023-02-09 23:34:27,"20↑ - infj , 4w5
feel free to unfollow
",ละเมาส์กุไม่มีเมาส์กลางอีก เวน เทจบ ๆ ละนอนไปเลยดีไหม
2023-02-09 23:34:19,exo nct,เมือคืนนอนสี่ทุ่มใครจาเชื่อ
2023-02-09 23:34:34,,อยากนอนแบบนอนทั้งวัน แต่ต้องทำงานอีก 3 วันแน่ะ เห้ออออม
2023-02-09 23:34:28,รักแมวอ้วนที่ชื่อจุ้บจิ้บค่ะ,นอนพร้อมกับแฟน ✅ https://t.co/u1HhU3QqV3
2023-02-09 23:34:27,"20↑ - infj , 4w5
feel free to unfollow
",ละเมาส์กุไม่มีเมาส์กลางอีก เวน เทจบ ๆ ละนอนไปเลยดีไหม
2023-02-09 23:34:19,exo nct,เมือคืนนอนสี่ทุ่มใครจาเชื่อ
2023-02-09 21:01:03,,ทำยังไงอ่ะ ตื่นมาร้องไห้ตอนตี4แล้วตอนเช้าต้องไปทำงาน ได้นอนไปชมเดียวเอง จะไหวมั้ยอ่ะ
2023-02-09 21:01:02,,เมื่อวานนอนตี 5 เกือบ 6 โมง ละวันนี้นอนกี่โมงหนิ จริงๆคือควรรีบนอนนะ เพราะมีบินเที่ยง ออกบ้าน 6 โมง 🥲 เป็นกำลังใจให้ร่างกายนขด้วยนะคะ ขอโทษทีที่ใช้งานหนักหน่วง
2023-02-09 21:01:01,,@SeenJum ง่วงก็ไปนอนนน
2023-02-09 21:00:57,"𝙩𝙤𝙤 𝙝𝙤𝙩, 𝙩𝙤𝙤 𝙝𝙤𝙩",อเมกาโน่ทำกูไม่ได้หลับไม่ได้นอนเลย ปากหาวฟอดๆเเต่ตาค้างสู้ชีวิตมาตั้งเเต่เที่ยงคืน จะตาย
2023-02-09 21:00:51,,@mehorny2021 นอนปุๆ
2023-02-09 21:00:40,,นอนดึกอีกละ
2023-02-09 21:00:37,,@grcgr4c โห่แข่งกันกันหนูเลยนอนดึกเพราะทำรูปเนี่ย5555 ชอบมากกก
2023-02-09 21:00:33,,แต่นอนน้อย กินข้าวไม่ตรงเวลาไอ้สีนด่า จบ
2023-02-09 21:00:10,,ผลของการนอนไม่หลับปวดหัวไปดิ
2023-02-09 21:00:05,"จ.ชลบุรี, ประเทศไทย","โทษน้ะเมื่อคืนไม่สบายนอนแต่ยังไม่สองทุ่มเลยไม่ไดช่วยเทรนรักน้ะพ่อเขม คุณฉัตร
#GiffarineChinaxMileApo
@Nnattawin1 @milephakphum https://t.co/aa39lLe9nv"
2023-02-09 21:00:03,In your heart ,ไม่หลับไม่นอน
2023-02-09 21:01:03,,ทำยังไงอ่ะ ตื่นมาร้องไห้ตอนตี4แล้วตอนเช้าต้องไปทำงาน ได้นอนไปชมเดียวเอง จะไหวมั้ยอ่ะ
2023-02-09 21:01:02,,เมื่อวานนอนตี 5 เกือบ 6 โมง ละวันนี้นอนกี่โมงหนิ จริงๆคือควรรีบนอนนะ เพราะมีบินเที่ยง ออกบ้าน 6 โมง 🥲 เป็นกำลังใจให้ร่างกายนขด้วยนะคะ ขอโทษทีที่ใช้งานหนักหน่วง
2023-02-09 21:01:01,,@SeenJum ง่วงก็ไปนอนนน
2023-02-09 21:00:57,"𝙩𝙤𝙤 𝙝𝙤𝙩, 𝙩𝙤𝙤 𝙝𝙤𝙩",อเมกาโน่ทำกูไม่ได้หลับไม่ได้นอนเลย ปากหาวฟอดๆเเต่ตาค้างสู้ชีวิตมาตั้งเเต่เที่ยงคืน จะตาย
2023-02-09 21:00:51,,@mehorny2021 นอนปุๆ
2023-02-09 21:00:40,,นอนดึกอีกละ
2023-02-09 21:00:37,,@grcgr4c โห่แข่งกันกันหนูเลยนอนดึกเพราะทำรูปเนี่ย5555 ชอบมากกก
2023-02-09 21:00:33,,แต่นอนน้อย กินข้าวไม่ตรงเวลาไอ้สีนด่า จบ
2023-02-09 21:00:10,,ผลของการนอนไม่หลับปวดหัวไปดิ
2023-02-09 21:00:05,"จ.ชลบุรี, ประเทศไทย","โทษน้ะเมื่อคืนไม่สบายนอนแต่ยังไม่สองทุ่มเลยไม่ไดช่วยเทรนรักน้ะพ่อเขม คุณฉัตร
#GiffarineChinaxMileApo
@Nnattawin1 @milephakphum https://t.co/aa39lLe9nv"
2023-02-09 21:00:03,In your heart ,ไม่หลับไม่นอน
2023-02-09 18:26:47,,โฟ้ดนอนยัง ป้านอนด้วย
2023-02-09 18:26:46,ขอนแก่น,ใครยังไม่นอน มาเปิดกล้องกัน👅👅👅
2023-02-09 18:26:44,"เหมียว,ลูกอม,ลูกชิ้น ❤️",นอนล่ะเคร้งๆ
2023-02-09 18:26:43,"อ.เมืองพิษณุโลก, จ.พิษณุโลก","ที่ทุกวันนี้นอนไม่ค่อยอิ่ม 
เป็นเพราะก่อนนอนไม่มีใครให้กินรึเปล่านะ😜"
2023-02-09 18:26:47,,โฟ้ดนอนยัง ป้านอนด้วย
2023-02-09 18:26:46,ขอนแก่น,ใครยังไม่นอน มาเปิดกล้องกัน👅👅👅
2023-02-09 18:26:44,"เหมียว,ลูกอม,ลูกชิ้น ❤️",นอนล่ะเคร้งๆ
2023-02-09 18:26:43,"อ.เมืองพิษณุโลก, จ.พิษณุโลก","ที่ทุกวันนี้นอนไม่ค่อยอิ่ม 
เป็นเพราะก่อนนอนไม่มีใครให้กินรึเปล่านะ😜"
2023-02-09 15:53:27,"CHIANG MAI, THAILAND",ชีวิตไม่มีอะไรแน่นอนแต่เราต้องนอน https://t.co/RCSMe7KwSS
2023-02-09 15:53:23,,อ่านอิปไปเป็นอปไป้ ควรไปนอน 😭
2023-02-09 15:53:20,BP│JS│JN│RS│LS│BLINK│EFCL,นอนเถอะนะคนดี555555555 กลัวทะลุ2Mมากตอนนนี้ ลำบากวันนี้วันหน้ายิ่งกว่าฮือออออ หอมแดงงงงง หยุ๊ดดดดดด #ENGLOTxRapidLife #อิงล็อต https://t.co/maNlgrhCLk
2023-02-09 15:53:20,ซ้ายสุด,มันอิ่ม​ความสุข​จน​ล้น​ออกปาก​อยู่​ละ​ นอนตะแคง​ยั​งไม่​ได้เลย​มัน​จะ​ไหล​ออก​ทาง​หู
2023-02-09 15:53:27,"CHIANG MAI, THAILAND",ชีวิตไม่มีอะไรแน่นอนแต่เราต้องนอน https://t.co/RCSMe7KwSS
2023-02-09 15:53:23,,อ่านอิปไปเป็นอปไป้ ควรไปนอน 😭
