time,places,tweet
2023-02-10 11:36:02,"Kampala, Uganda","I guarantee if you gave everyone in that 1998 crowd an iPhone 13, they would've pulled it out and taken pictures of Jordan too. We aren't any worse as a society now. We just didn't have the technology then. Sure, there's a lot of negative things about smart phones, but there's https://t.co/KjlY6raDbB"
2023-02-10 11:35:53,,"For concert samsung is the best, but for spazzing, i prefer iphone... Easy fast update"
2023-02-10 11:35:52,,@A100888 I love 1xbet
2023-02-10 11:35:50,,setup lmao this iPhone XR and your patch didn’t work has that I guess lmao this thread is your 90$/y subscription
2023-02-10 11:38:31,,Hopefully Jaehyuk can find Yeonoh's location on his iPhone and go straight there 🥺
2023-02-10 11:38:13,ILE AIYE ,"@holardamolar The day I wanted to change my iphone, staked 2odds with 150k and it cut, wanted to recover the lost still stake another 2odds with  100k still cut 💔
I was so depressed that month and didn't get myself"
2023-02-10 11:38:09,"Welkom, South Africa",@lasizwe iphone 14
2023-02-10 11:38:03,,Now  bi  You’re “Twitter for android or IPhone” is useless 😭😭😭
2023-02-10 11:37:56,Portugal | Brasil,@labenzemancee @SimplementBrook iphone 12*
2023-02-10 11:37:46,,"https://t.co/dnkLhrIsLH always has music for your listening pleasure. No matter your musical taste, we have you covered. Join Cardinal Capey and the Crazy Crew on our dedicated IPhone app with Android coming soon or on the website. Have a  wonderful day! @AreCapes @CRMSradioone"
2023-02-10 11:37:42,,"@Nioskycoming @archiecoder @1benkiss Americans have no problem spending hours on their iPhone everyday, made in China. What's that app dominating social media right now... oh ya TikTok that's from China, where are those fentanyl ingredients coming from Americans love much, want to take a guess?"
2023-02-10 11:37:42,"Peterborough, England","@bradsferguson @stevewoz Surprising comments from Woz. Especially since he's from the tech sector and knowing that products remain in beta for a long time while making  incremental improvements.

I'm sure the iphone wasn't 100% perfect on the first shipment.

https://t.co/luiO5GrUAt"
2023-02-10 11:37:42,,"Happy 10th Anniversary, @DocumentsApp! 🎉 Get more from your iPhone and iPad 🚀 #10YearsOfDocuments #ForeverInnovating #100milliondownloads #12millionusers https://t.co/K2btWJ61ED"
2023-02-10 11:37:34,Dubai,The Galaxy S23 Ultra still struggles to beat the iPhone—from 2020 https://t.co/pVWWfeBhyY https://t.co/tapABTQtVY
2023-02-10 11:37:33,,The Galaxy S23 Ultra still struggles to beat the iPhone—from 2020 - Macworld https://t.co/WwqoHRyShJ
2023-02-10 11:37:31,"Knoxville, TN","Latest: Mike Huguenin, Dale Jones, Watson Brown, Chris Lofton, Adam Sparks, Dan Harralson, and Tony Vitello  
Get the app!
Droid - https://t.co/JMpwx3NzCl
iPhone - https://t.co/3b48BnlMlh https://t.co/YfH5cPyaMR"
2023-02-10 11:37:09,Cambodia,@Wirestock I can’t open Wirestock website on Safari and Goggle in my iPhone. Why can’t connect services?
2023-02-10 11:37:00,,"Happy 10th Anniversary, @DocumentsApp! 🎉 Get more from your iPhone and iPad 🚀 #10YearsOfDocuments #ForeverInnovating #100milliondownloads #12millionusers https://t.co/SYwKDAXAbY"
2023-02-10 11:36:55,,@3uIEvsuuRWnPT1p iPhone
2023-02-10 11:36:41,"Pokoase, Ghana",You’re using iPhone nso no apple subscription……Aden you bought the phone to just say hello or let people know you’re also using iPhone??😂💔   Nti not even Netflix? Oh nana😂😂
2023-02-10 11:36:37,,@DrPanteo @hellopixelfield Done
2023-02-10 11:36:12,"Sydney, New South Wales",“Colours” 📱🤌. shot and edited on iPhone 12 Pro Max. ✊✌️🙏up. https://t.co/0nGThs2XEG
2023-02-10 11:36:11,,@lilithsas i esse iphone
2023-02-10 11:36:02,"Kampala, Uganda","I guarantee if you gave everyone in that 1998 crowd an iPhone 13, they would've pulled it out and taken pictures of Jordan too. We aren't any worse as a society now. We just didn't have the technology then. Sure, there's a lot of negative things about smart phones, but there's https://t.co/KjlY6raDbB"
2023-02-10 11:35:53,,"For concert samsung is the best, but for spazzing, i prefer iphone... Easy fast update"
2023-02-10 11:35:52,,@A100888 I love 1xbet
2023-02-10 11:35:50,,setup lmao this iPhone XR and your patch didn’t work has that I guess lmao this thread is your 90$/y subscription
2023-02-10 09:02:33,,@jeromedadon @rebelsclub_io definitely worth a look. Mobile p2e endless runner out for beta testing. Jump in discord and download for iPhone and android. Partnered with @CyberKongz @The_Habibiz @TastyBonesNFT   #rebelsrun https://t.co/uItQ4jAm7K
